,Value,Type,Class,Description
9494,Benignfamilialinfantileconvulsions,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9495,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9496,autosomaldominantepilepsysyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9497,neurologicalabnormalities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9498,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9499,"generalizedepilepsyandfebrileseizures""plus""",Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9500,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9501,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9502,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9503,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9504,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9505,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9506,attenuatedfamilialadenomatouspolyposis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9507,adenomatouspolyposiscoli(APC)tumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9508,familialadenomatouspolyposis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9509,FAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9510,FAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9511,benigncolorectaltumors,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9512,colorectalcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9513,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9514,attenuatedFAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9515,AFAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9516,tumors,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9517,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9518,AFAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9519,AFAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9520,AFAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9521,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9522,tumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9523,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9524,colorectaltumors,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9525,tumors,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9526,colorectaltumors,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9527,FAP,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9528,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9529,colorectaltumors,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9530,Friedreichataxia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9531,Frataxindeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9532,Friedreichataxia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9533,FRDA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9534,autosomalrecessivecardiodegenerativeandneurodegenerativedisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9535,mitochondrialironaccumulation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9536,hypersensitivitytooxidativestress,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9537,FRDA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9538,faciogenitaldysplasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9539,Aarskog-Scottsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9540,Aarskog-ScottSyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9541,AAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9542,X-linkeddisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9543,shortstature,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9544,"facial,limbandgenitalabnormalities",Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9545,AAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9546,AAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9547,AAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9548,AAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9549,X-linkedagammaglobulinemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9550,Huntingtondisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9551,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9552,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9553,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9554,neuriticdegeneration,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9555,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9556,HD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9557,breastcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9558,tumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9559,breastandovariancancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9560,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9561,tumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9562,adenomatouspolyposiscoli,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9563,familialadenomatouspolyposis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9564,colorectaltumors,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9565,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9566,ColorectalCancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
